"","age","marital_status","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degree","c_charge_desc","is_recid","prison_length"
"34",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,1560
"35",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,864
"36",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,86
"37",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,204
"38",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,440
"39",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,809
"40",45,"Single",0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,104
"41",33,"Single",0,0,0,0,"(F3)","Driving While License Revoked",0,604
"42",35,"Single",0,0,0,1,"(F3)","arrest case no charge",0,3052
"43",34,"Single",0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,1574
"44",34,"Single",0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,214
"45",34,"Single",0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,342
"46",21,"Single",0,0,1,0,"(F2)","Burglary Unoccupied Dwelling",1,2122
"47",26,"Single",0,0,0,4,"(F3)","Possession of Cocaine",0,2169
"48",44,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,1785
"49",23,"Single",0,0,0,1,"(F5)","arrest case no charge",0,1989
"50",46,"Single",0,0,0,1,"(F3)","arrest case no charge",0,227
"51",46,"Single",0,0,0,1,"(F3)","arrest case no charge",0,197
"52",46,"Single",0,0,0,1,"(F3)","arrest case no charge",0,1379
"53",46,"Single",0,0,0,1,"(F3)","arrest case no charge",0,17
"54",46,"Single",0,0,0,1,"(F3)","arrest case no charge",0,117
"55",23,"Single",0,0,1,3,"(F2)","arrest case no charge",1,1392
"56",21,"Single",0,0,0,1,"(F2)","Escape",0,1504
"57",24,"Single",0,0,1,9,"(M1)","Viol Injunct Domestic Violence",1,265
"58",30,"Single",0,0,0,3,"(F3)","arrest case no charge",0,1674
"59",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,153
"60",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,902
"61",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,231
"62",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,119
"63",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,1057
"64",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,202
"65",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,318
"66",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,369
"67",60,"Single",0,0,0,15,"(F3)","Felony Petit Theft",0,1506
"68",62,"Single",0,0,0,1,"(F3)","arrest case no charge",0,1399
"69",31,"Single",0,0,0,16,"(F3)","Burglary Conveyance Unoccup",1,1532
"70",46,"Married",1,0,0,5,"(M1)","Battery",0,170
"71",46,"Married",1,0,0,5,"(M1)","Battery",0,5313
"72",46,"Married",1,0,0,5,"(M1)","Battery",0,880
"73",43,"Single",0,0,0,18,"(M2)","Driving License Suspended",0,92
"74",43,"Single",0,0,0,18,"(M2)","Driving License Suspended",0,102
"75",43,"Single",0,0,0,18,"(M2)","Driving License Suspended",0,344
"76",43,"Single",0,0,0,18,"(M2)","Driving License Suspended",0,116
"77",43,"Single",0,0,0,18,"(M2)","Driving License Suspended",0,703
"78",43,"Single",0,0,0,18,"(M2)","Driving License Suspended",0,460
"79",28,"Single",0,0,0,5,"(M1)","Battery",1,1947
"80",44,"Single",0,0,0,8,"(F3)","arrest case no charge",1,1662
"81",44,"Single",0,0,0,8,"(F3)","arrest case no charge",1,937
"82",44,"Single",0,0,0,8,"(F3)","arrest case no charge",1,225
"83",33,"Single",1,0,0,9,"(M1)","Aggravated Battery",1,453
"84",33,"Single",1,0,0,9,"(M1)","Aggravated Battery",1,989
"85",33,"Single",0,0,0,1,"(F3)","Grand Theft Dwell Property",0,1664
"86",30,"Single",0,0,0,2,"(F3)","Burglary Unoccupied Dwelling",1,1504
"87",62,"Single",0,0,0,3,"(M1)","DUI Property Damage/Injury",1,372
"88",62,"Single",0,0,0,3,"(M1)","DUI Property Damage/Injury",1,4470
"89",62,"Single",0,0,0,3,"(M1)","DUI Property Damage/Injury",1,788
"90",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,2986
"91",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,470
"92",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,682
"93",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,203
"94",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,944
"95",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,162
"96",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,190
"97",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,22
"98",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,702
"99",64,"Divorced",0,0,0,17,"(F2)","Aggrav Battery w/Deadly Weapon",0,356
"100",23,"Single",0,0,0,2,"(F2)","Robbery / No Weapon",0,2402
"101",31,"Single",0,0,0,8,"(F3)","arrest case no charge",1,840
"102",31,"Single",0,0,0,8,"(F3)","arrest case no charge",1,313
"103",42,"Single",0,0,0,3,"(F3)","arrest case no charge",0,526
"104",20,"Single",0,0,0,1,"(F3)","arrest case no charge",1,1847
"105",37,"Single",0,0,0,22,"(F3)","arrest case no charge",1,202
"106",61,"Single",0,0,0,20,"(M2)","Susp Drivers Lic 1st Offense",1,462
"107",61,"Single",0,0,0,20,"(M2)","Susp Drivers Lic 1st Offense",1,92
"108",61,"Single",0,0,0,20,"(M2)","Susp Drivers Lic 1st Offense",1,107
"109",39,"Single",0,1,1,8,"(F3)","Possession of Cocaine",1,1366
"110",39,"Single",0,1,1,8,"(F3)","Possession of Cocaine",1,186
"111",39,"Single",0,1,1,8,"(F3)","Possession of Cocaine",1,1456
"112",39,"Single",0,1,1,8,"(F3)","Possession of Cocaine",1,291
"113",33,"Single",0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,134
"114",33,"Single",0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,398
"115",33,"Single",0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,406
"116",33,"Single",0,0,0,18,"(F3)","Grand Theft (Motor Vehicle)",1,588
"117",49,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,50
"118",49,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,292
"119",49,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,905
"120",49,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,5652
"121",49,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,1749
"122",25,"Single",0,0,0,8,"(M1)","Battery",1,1688
"123",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,1290
"124",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,290
"125",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,2226
"126",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,235
"127",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,187
"128",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,531
"129",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,1371
"130",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,115
"131",61,"Single",0,0,0,9,"(F3)","arrest case no charge",0,296
"132",44,"Single",0,0,0,0,"(F3)","Grand Theft (Motor Vehicle)",0,315
"133",44,"Single",0,0,0,0,"(F3)","Grand Theft (Motor Vehicle)",0,285
"134",44,"Single",0,0,0,0,"(F3)","Grand Theft (Motor Vehicle)",0,763
"135",40,"Married",0,0,0,3,"(F1)","Robbery W/Firearm",0,1721
"136",30,"Single",0,0,0,5,"(M2)","Burglary Unoccupied Dwelling",0,260
"137",23,"Single",1,0,1,10,"(F3)","Grand Theft (Motor Vehicle)",0,1534
"138",23,"Single",1,0,1,10,"(F3)","Grand Theft (Motor Vehicle)",0,589
"139",52,"Married",0,0,0,5,"(F3)","Grand Theft in the 3rd Degree",1,1074
"140",33,"Single",0,0,0,21,"(M1)","Viol Pretrial Release Dom Viol",1,530
"141",33,"Single",0,0,0,21,"(M1)","Viol Pretrial Release Dom Viol",1,769
"142",38,"Separated",0,0,0,15,"(F3)","Possession of Cocaine",0,413
"143",38,"Separated",0,0,0,15,"(F3)","Possession of Cocaine",0,264
"144",38,"Separated",0,0,0,15,"(F3)","Possession of Cocaine",0,393
"145",25,"Single",0,0,0,8,"(F2)","Deliver Cocaine",1,1611
"146",36,"Single",0,0,0,1,"(F3)","arrest case no charge",0,0
"147",48,"Single",1,0,0,23,"(F3)","Felony Petit Theft",1,1366
"148",48,"Single",1,0,0,23,"(F3)","Felony Petit Theft",1,864
"149",48,"Single",1,0,0,23,"(F3)","Felony Petit Theft",1,2004
"150",48,"Single",1,0,0,23,"(F3)","Felony Petit Theft",1,280
"151",48,"Single",1,0,0,23,"(F3)","Felony Petit Theft",1,539
"152",48,"Single",1,0,0,23,"(F3)","Felony Petit Theft",1,1776
"153",23,"Single",0,0,0,0,"(F2)","Burglary Unoccupied Dwelling",0,617
"155",40,"Single",0,0,0,7,"(F3)","Grand Theft in the 3rd Degree",0,2591
"156",26,"Single",0,0,0,0,"(M1)","Battery",0,482
"157",41,"Single",0,0,0,10,"(F3)","arrest case no charge",0,280
"158",41,"Single",0,0,0,10,"(F3)","arrest case no charge",0,1578
"159",24,"Single",0,0,0,7,"(F2)","arrest case no charge",1,291
"160",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,329
"161",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,15
"162",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,212
"163",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,327
"164",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,277
"165",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,174
"166",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,105
"167",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,49
"168",62,"Single",0,0,0,22,"(F3)","Possession of Cocaine",1,93
"169",32,"Single",0,0,0,3,"(M1)","Resist/Obstruct W/O Violence",0,1236
"170",33,"Significant Other",0,0,0,4,"(M1)","Battery",1,468
"171",33,"Single",0,0,0,4,"(M1)","Battery",1,468
"172",26,"Single",0,0,0,1,"(F3)","Felony Battery (Dom Strang)",0,558
"173",37,"Single",0,0,0,1,"(M1)","Battery",0,2284
"174",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,68
"175",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,174
"176",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,1854
"177",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,190
"178",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,784
"179",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,201
"180",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,213
"181",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,1172
"182",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,241
"183",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,3401
"184",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,1015
"185",47,"Single",4,0,0,22,"(F3)","Possession of Cocaine",1,142
"186",39,"Single",0,0,0,0,"(F3)","Possession Of Methamphetamine",0,460
"187",44,"Single",0,0,0,11,"(F3)","Felony Battery w/Prior Convict",1,291
"188",31,"Single",0,0,0,1,"(M2)","Unlawful Alter Of Tag",0,376
"189",27,"Single",0,0,0,5,"(F3)","arrest case no charge",1,509
"190",27,"Single",0,0,0,5,"(F3)","arrest case no charge",1,242
"191",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,676
"192",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,582
"193",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,705
"194",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,456
"195",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,260
"196",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,243
"197",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,365
"198",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,141
"199",61,"Divorced",0,0,0,25,"(F2)","Burglary Unoccupied Dwelling",0,78
"200",29,"Single",0,0,0,6,"(F3)","arrest case no charge",1,96
"201",47,"Single",0,0,0,4,"(F3)","Felony Petit Theft",0,279
"202",47,"Single",0,0,0,4,"(F3)","Felony Petit Theft",0,1805
"203",47,"Single",0,0,0,4,"(F3)","Felony Petit Theft",0,709
"204",47,"Single",0,0,0,4,"(F3)","Felony Petit Theft",0,82
"205",47,"Single",0,0,0,4,"(F3)","Felony Petit Theft",0,480
"206",47,"Single",0,0,0,4,"(F3)","Felony Petit Theft",0,647
"207",36,"Single",0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,185
"208",36,"Single",0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,224
"209",46,"Single",1,0,0,10,"(F3)","Possession of Cocaine",0,284
"210",46,"Single",1,0,0,10,"(F3)","Possession of Cocaine",0,1928
"211",46,"Single",1,0,0,10,"(F3)","Possession of Cocaine",0,527
"212",46,"Single",1,0,0,10,"(F3)","Possession of Cocaine",0,139
"213",46,"Single",1,0,0,10,"(F3)","Possession of Cocaine",0,1321
"214",39,"Single",1,1,0,16,"(F2)","Deliver Cocaine",0,208
"215",39,"Single",1,1,0,16,"(F2)","Deliver Cocaine",0,1749
"216",39,"Single",1,1,0,16,"(F2)","Deliver Cocaine",0,858
"217",39,"Single",1,1,0,16,"(F2)","Deliver Cocaine",0,704
"218",38,"Single",0,0,0,15,"(F3)","Drivg While Lic Suspd/Revk/Can",1,1074
"219",51,"Single",0,0,0,5,"(M2)","Driving License Suspended",0,1282
"220",25,"Single",1,2,0,9,"(F3)","arrest case no charge",1,182
"221",32,"Single",1,0,0,2,"(M1)","arrest case no charge",1,919
"222",57,"Divorced",0,0,0,14,"(F3)","arrest case no charge",1,565
"223",57,"Divorced",0,0,0,14,"(F3)","arrest case no charge",1,374
"224",57,"Divorced",0,0,0,14,"(F3)","arrest case no charge",1,273
"225",57,"Divorced",0,0,0,14,"(F3)","arrest case no charge",1,55
"226",57,"Divorced",0,0,0,14,"(F3)","arrest case no charge",1,295
"227",20,"Single",0,0,1,0,"(F2)","Burglary Unoccupied Dwelling",0,1924
"228",49,"Significant Other",1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,302
"229",49,"Significant Other",1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,826
"230",49,"Significant Other",1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,179
"231",49,"Significant Other",1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,155
"232",49,"Significant Other",1,0,0,14,"(F3)","Felony Driving While Lic Suspd",0,371
"233",34,"Married",0,0,0,0,"(F3)","False Imprisonment",0,2129
"234",23,"Single",1,0,4,2,"(F3)","Poss3,4 Methylenedioxymethcath",0,1912
"235",46,"Single",0,0,0,8,"(F3)","arrest case no charge",1,4013
"236",46,"Single",0,0,0,8,"(F3)","arrest case no charge",1,474
"237",46,"Single",0,0,0,8,"(F3)","arrest case no charge",1,1022
"238",46,"Single",0,0,0,8,"(F3)","arrest case no charge",1,213
"239",46,"Single",0,0,0,8,"(F3)","arrest case no charge",1,60
"242",29,"Single",0,0,0,6,"(F7)","arrest case no charge",0,2148
"243",29,"Single",0,0,0,6,"(F7)","arrest case no charge",0,166
"244",29,"Single",0,0,0,6,"(F7)","arrest case no charge",0,920
"245",29,"Single",0,0,1,20,"(F2)","arrest case no charge",0,887
"246",29,"Single",0,0,1,20,"(F2)","arrest case no charge",0,1562
"247",42,"Single",0,0,0,1,"(F1)","Trafficking In Methamphetamine",0,2954
"248",35,"Single",0,0,0,0,"(F3)","Burglary Conveyance Unoccup",0,844
"249",37,"Single",1,0,1,12,"(M2)","Disorderly Intoxication",1,784
"250",37,"Single",1,0,1,12,"(M2)","Disorderly Intoxication",1,874
"251",37,"Single",1,0,1,12,"(M2)","Disorderly Intoxication",1,385
"252",37,"Single",1,0,1,12,"(M2)","Disorderly Intoxication",1,348
"253",35,"Single",0,0,0,10,"(F3)","arrest case no charge",1,582
"254",35,"Single",0,0,0,10,"(F3)","arrest case no charge",1,149
"255",35,"Single",0,0,0,10,"(F3)","arrest case no charge",1,256
"257",27,"Single",0,0,0,5,"(F2)","Burglary Dwelling Occupied",1,361
"258",27,"Single",0,0,0,5,"(F2)","Burglary Dwelling Occupied",1,143
"259",26,"Single",0,1,0,8,"(F2)","Attempted Robbery Firearm",0,1569
"260",30,"Single",2,0,0,20,"(F3)","Felony Battery w/Prior Convict",1,621
"261",30,"Single",2,0,0,20,"(F3)","Felony Battery w/Prior Convict",1,64
"262",31,"Significant Other",3,0,0,6,"(F3)","Resist Officer w/Violence",1,378
"263",31,"Significant Other",3,0,0,6,"(F3)","Resist Officer w/Violence",1,841
"264",37,"Single",1,0,0,11,"(F3)","arrest case no charge",0,373
"265",37,"Single",1,0,0,11,"(F3)","arrest case no charge",0,754
"266",37,"Single",1,0,0,11,"(F3)","arrest case no charge",0,493
"267",37,"Single",1,0,0,11,"(F3)","arrest case no charge",0,89
"268",37,"Single",1,0,0,11,"(F3)","arrest case no charge",0,1103
"269",32,"Single",0,0,0,4,"(F2)","Poss Cocaine/Intent To Del/Sel",0,1688
"270",32,"Single",0,0,0,4,"(F2)","Poss Cocaine/Intent To Del/Sel",0,1655
"271",61,"Single",0,0,0,15,"(F3)","Felony Petit Theft",1,965
"272",30,"Single",0,0,0,7,"(F3)","arrest case no charge",0,689
"273",30,"Single",0,0,0,7,"(F3)","arrest case no charge",0,1367
"274",55,"Single",0,0,0,11,"(F3)","Resist Officer w/Violence",0,633
"275",55,"Single",0,0,0,11,"(F3)","Resist Officer w/Violence",0,222
"276",55,"Single",0,0,0,11,"(F3)","Resist Officer w/Violence",0,275
"277",55,"Single",0,0,0,11,"(F3)","Resist Officer w/Violence",0,375
"278",55,"Single",0,0,0,11,"(F3)","Resist Officer w/Violence",0,44
"279",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,299
"280",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,299
"281",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,606
"282",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,606
"283",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,1243
"284",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,1243
"285",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,269
"286",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,269
"287",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,356
"288",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,356
"289",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,1449
"290",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,1449
"291",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,104
"292",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,104
"293",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,194
"294",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,194
"295",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,242
"296",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,242
"297",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,932
"298",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,932
"299",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,172
"300",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,172
"301",51,"Single",0,0,0,22,"(F7)","arrest case no charge",1,720
"302",51,"Married",0,0,0,22,"(F7)","arrest case no charge",1,720
"303",29,"Single",0,0,0,1,"(F3)","Burglary Conveyance Unoccup",0,181
"304",31,"Single",0,0,1,11,"(F3)","Grand Theft (Motor Vehicle)",1,828
"305",40,"Significant Other",0,0,0,0,"(F3)","Possession of Cocaine",1,461
"306",40,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,461
"307",40,"Significant Other",0,0,0,0,"(F3)","Possession of Cocaine",1,1449
"308",40,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,1449
"309",40,"Significant Other",0,0,0,0,"(F3)","Possession of Cocaine",1,675
"310",40,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,675
"311",40,"Significant Other",0,0,0,0,"(F3)","Possession of Cocaine",1,249
"312",40,"Single",0,0,0,0,"(F3)","Possession of Cocaine",1,249
"313",44,"Single",0,0,0,5,"(F7)","arrest case no charge",0,1500
"314",31,"Single",0,1,0,12,"(F2)","Aggravated Battery",1,768
"316",64,"Single",0,0,0,0,"(F3)","Sex Offender Fail Comply W/Law",0,199
"317",34,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,356
"318",34,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,122
"319",34,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,275
"320",34,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,228
"321",34,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,831
"322",34,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,1555
"323",35,"Single",0,0,0,4,"(F3)","Possession of Cocaine",1,2809
"324",36,"Single",1,0,0,7,"(F2)","Burglary Unoccupied Dwelling",0,1634
"325",36,"Single",1,0,0,7,"(F2)","Burglary Unoccupied Dwelling",0,322
"326",28,"Single",0,0,0,8,"(F2)","Deliver Cocaine",1,311
"327",30,"Single",0,0,0,1,"(F3)","Possession Of Alprazolam",1,715
"328",32,"Single",0,0,0,13,"(M1)","Possess Cannabis/20 Grams Or Less",1,85
"329",33,"Single",0,1,0,7,"(F3)","Trespass Property w/Dang Weap",1,1010
"330",33,"Single",0,1,0,7,"(F3)","Trespass Property w/Dang Weap",1,721
"331",31,"Single",0,0,1,5,"(F1)","arrest case no charge",1,2148
"332",31,"Single",0,0,1,5,"(F1)","arrest case no charge",1,980
"333",31,"Single",0,0,1,5,"(F1)","arrest case no charge",1,504
"334",30,"Single",0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,140
"335",30,"Single",0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,262
"336",30,"Single",0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,1471
"337",30,"Single",0,1,1,11,"(M1)","Possess Cannabis/20 Grams Or Less",0,284
"338",41,"Significant Other",0,0,0,5,"(M1)","arrest case no charge",0,1561
"339",41,"Significant Other",0,0,0,5,"(M1)","arrest case no charge",0,0
"340",48,"Single",0,0,0,9,"(F3)","arrest case no charge",1,43
"341",48,"Single",0,0,0,9,"(F3)","arrest case no charge",1,260
"342",22,"Single",0,0,0,11,"(F3)","Grand Theft in the 3rd Degree",0,1541
"343",22,"Single",0,0,0,11,"(F3)","Grand Theft in the 3rd Degree",0,180
"344",21,"Single",1,0,2,1,"(F2)","arrest case no charge",1,250
"345",44,"Single",0,0,0,3,"(F2)","arrest case no charge",0,648
"346",28,"Single",0,0,0,4,"(F2)","arrest case no charge",1,1443
"347",30,"Single",2,0,0,26,"(F3)","Agg Fleeing and Eluding",0,2178
"348",30,"Single",2,0,0,26,"(F3)","Agg Fleeing and Eluding",0,796
"349",30,"Single",2,0,0,26,"(F3)","Agg Fleeing and Eluding",0,343
"350",27,"Married",0,0,0,6,"(F3)","Grand Theft In The 3Rd Degree",0,1567
"351",27,"Married",0,0,0,6,"(F3)","Grand Theft In The 3Rd Degree",0,102
"352",21,"Single",0,0,0,0,"(F3)","Grand Theft in the 3rd Degree",1,1968
"353",35,"Single",0,0,0,5,"(F3)","arrest case no charge",0,827
"354",35,"Single",0,0,0,5,"(F3)","arrest case no charge",0,124
"355",35,"Single",0,0,0,5,"(F3)","arrest case no charge",0,206
"356",35,"Single",0,0,0,5,"(F3)","arrest case no charge",0,793
"357",26,"Single",0,0,0,5,"(F2)","Burglary Dwelling Occupied",1,225
"358",23,"Single",0,1,0,4,"(F7)","arrest case no charge",1,1366
"359",23,"Single",1,0,2,2,"(F3)","arrest case no charge",1,485
"360",23,"Single",1,0,2,2,"(F3)","arrest case no charge",1,348
"361",27,"Single",0,0,0,15,"(MO3)","Resisting W/O Violence",0,723
"362",27,"Single",0,0,0,6,"(F3)","Possession of Cocaine",1,3842
"363",49,"Single",0,0,0,25,"(F3)","Felony Petit Theft",1,283
"364",49,"Single",0,0,0,25,"(F3)","Felony Petit Theft",1,419
"365",49,"Single",0,0,0,25,"(F3)","Felony Petit Theft",1,547
"366",49,"Single",0,0,0,25,"(F3)","Felony Petit Theft",1,1553
"367",39,"Single",0,0,0,1,"(F3)","Possession of Morphine",0,1433
